avg,max,min,date
164.45,196.99,129.99,2021-08-21
164.57,199.99,129.99,2021-08-22
164.81,229.99,129.99,2021-08-23
166.38,229.99,129.99,2021-08-24
166.38,229.99,129.99,2021-08-25
166.38,229.99,129.99,2021-08-26
163.93,229.99,129.99,2021-08-27
163.93,229.99,129.99,2021-08-28
165.27,239.99,129.99,2021-08-29
166.58,239.99,129.99,2021-08-30
168.99,239.99,129.99,2021-08-31
173.03,239.99,124.99,2021-09-01
163.06,209.99,124.99,2021-09-02
163.06,209.99,124.99,2021-09-03
162.68,209.99,124.99,2021-09-04
165.37,209.99,124.99,2021-09-05
164.99,209.99,124.99,2021-09-06
164.22,209.99,124.99,2021-09-07
162.68,209.99,124.99,2021-09-08
162.64,209.99,124.99,2021-09-09
162.64,209.99,124.99,2021-09-10
162.64,209.99,124.99,2021-09-11
161.34,209.99,124.99,2021-09-12
161.45,209.99,124.99,2021-09-13
162.14,209.99,124.99,2021-09-14
162.14,209.99,124.99,2021-09-15
162.88,209.99,124.99,2021-09-16
161.58,209.99,124.99,2021-09-17
161.95,209.99,124.99,2021-09-18
160.07,189.99,124.99,2021-09-19
161.58,209.99,124.99,2021-09-20
162.35,209.99,124.99,2021-09-21
161.61,209.99,124.99,2021-09-22
161.2,209.99,124.99,2021-09-23
161.2,209.99,124.99,2021-09-24
161.03,209.99,124.99,2021-09-25
164.27,229.99,124.99,2021-09-26
163.65,219.99,124.99,2021-09-27
170.43,229.99,124.99,2021-09-28
167.79,229.99,97.49,2021-09-29
163.16,219.99,124.99,2021-09-30
165.28,219.99,124.99,2021-10-01
169.66,229.99,124.99,2021-10-02
164.87,219.99,124.99,2021-10-03
168.5,229.99,124.99,2021-10-04
175.87,259.99,124.99,2021-10-05
176.09,259.99,124.99,2021-10-06
177.65,259.99,124.99,2021-10-07
171.57,239.99,124.99,2021-10-08
179.37,280.24,115.49,2021-10-09
180.82,280.24,124.99,2021-10-10
178.06,259.99,124.99,2021-10-11
177.25,259.99,124.99,2021-10-12
175.96,259.99,124.99,2021-10-13
175.99,259.99,124.99,2021-10-14
175.18,259.99,124.99,2021-10-15
177.75,272.99,124.99,2021-10-16
178.36,272.99,124.99,2021-10-17
178.73,272.99,124.99,2021-10-18
178.43,272.99,124.99,2021-10-19
170.44,229.99,124.99,2021-10-20
170.41,229.99,124.99,2021-10-21
168.65,229.99,124.99,2021-10-22
167.81,229.99,124.99,2021-10-23
